,points,1yrNetSpend,improved,MarketValue,SalaryTotal
Arsenal,75,-91180000,unknown,414750000,144254133
Aston Villa,38,-12140000,unknown,114250000,50513645
Burnley,33,-12620000,unknown,52550000,23744580
Chelsea,87,5110000,unknown,557250000,159468596
Crystal Palace,48,-28350000,unknown,97250000,48306460
Everton,47,-38260000,unknown,182850000,76928001
Hull City,35,-29520000,unknown,117100000,56063465
Leicester,41,-22860000,unknown,66700000,50521876
Liverpool,62,-52160000,unknown,324850000,124590553
Man City,79,-72500000,unknown,448250000,187142725
Man Utd,70,-148650000,unknown,505400000,217964143
Newcastle,39,-21150000,unknown,140000000,49101508
QPR,30,-17500000,unknown,112250000,68734006
Southampton,60,27830000,unknown,210250000,64770936
Stoke City,54,2000000,unknown,110500000,55964118
Sunderland,38,-15270000,unknown,91000000,60041767
Swansea,56,20370000,unknown,130750000,45739074
Tottenham,64,-4330000,unknown,304150000,103094605
West Brom,44,-22580000,unknown,95950000,54075075
West Ham,47,-30750000,unknown,135900000,69320313